incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
theft,5550 s. university,crown field house,2010-07-20T16:20:00Z,7/20/10 3:30 PM to  4:20 PM,Unknown person(s) forced open three gym locker doors and took three cell phones,Open,W0812,2010-07-20T15:30:00Z,2010-07-20T16:20:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935818,-87.5989697
battery,5706 s. university,reynolds club,2010-07-20T17:07:00Z,7/20/10 4:45 PM,Unknown male placed his hand on woman's buttocks as they passed in a hallway / Suspect fled,Open,W0811,2010-07-20T16:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911239,-87.59821
assault,1118 e. 58th st.,eckhart hall,2010-07-20T17:34:00Z,7/20/10 2:20 PM,Woman felt threatened after a verbal exchange with a man dissatisfied with service,Open,W0813,2010-07-20T14:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.790151,-87.598534
fire,1100 e. 58th st.,quad,2010-07-20T20:16:00Z,7/20/10 8:15 PM,Small fire in trash container in the Quad extinguished by CFD / No damage,Closed,W0814,2010-07-20T20:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7901748,-87.5991412
recovered motor vehicle,woodlawn between 55th & 56th,NA,2010-07-21T00:04:00Z,7/21/10 12:04 AM,UCPD officer arrested male subject in possession of a stolen motorcycle,Arrest,W0816,2010-07-21T00:04:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7941589,-87.596524
injured person,5815 s. kimbark,belfield hall,2010-07-21T03:23:00Z,7/21/10 3:23 AM,Deliveryman fell down stairs injuring his lower back and head / Transported to ER by CFD EMS,Closed,W0815,2010-07-21T03:23:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892434,-87.5944682
damage to property,55th between drexel and ellis,NA,2010-07-21T14:57:00Z,7/20/10 to 7/21/10 7:00 PM to 3:00 PM,Unknown person shattered rear window of a car parked on the street,Open,W0817,2010-07-20T19:00:00Z,2010-07-21T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79515565,-87.60256205
damage to property,6031 s. ellis,south campus residence hall,2010-07-21T14:13:00Z,7/1910 to 7/21/10 8:00 PM to 2:00 PM,Window damaged / Cause Undetermined,Closed,W0818,NA,2010-07-21T14:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
fire,6031 s. ellis,south campus residence hall,2010-07-21T18:12:00Z,7/21/10 6:12 PM,Alarm malfunction / CFD responded,Closed,W0819,2010-07-21T18:12:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
fire,5700 s. stony island,NA,2010-07-21T21:43:00Z,7/21/10 9:43 PM,Smoke from over-cooked food triggered alarm / No fire / CFD responded,Closed,W0820,2010-07-21T21:43:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912266,-87.5870399
fire,1010 e. 59th st.,classics,2010-07-22T10:31:00Z,7/22/10 10:31 AM,Alarm accidently triggered by contractor servicing system / CFD responded,Closed,W0821,2010-07-22T10:31:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879118,-87.6008291
trespassing,5811 s. ellis,cobb hall,2010-07-22T13:15:00Z,7/22/10 1:15 PM,UCPD officers arrested male subject for trespass and possession of burglary tools,Arrest,W0822,2010-07-22T13:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7889661,-87.6009319
theft,56th between greenwood & university,NA,2010-07-22T15:39:00Z,7/22/10 3:30 PM,Unknown person broke window of van parked on the street and took bicycle and GPS device,Open,W0824,2010-07-22T15:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79307355,-87.5937589
theft,1137 e. 57th st.,hutchinson commons,2010-07-22T16:14:00Z,7/22/10 2:00 PM,Unknown person took wallet from unattended book bag / Unauthorized use of credit card reported,Open,W0823,2010-07-22T14:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912376,-87.5981178
theft,924 e. 57th st.,bslc,2010-07-22T21:12:00Z,7/22/10 9:00 AM to 9:00 PM,Unknown person took a bicycle that was chained to a bike rack,Open,W0826,2010-07-22T09:00:00Z,2010-07-22T21:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
robbery,woodlawn between 54th & 55th,NA,2010-07-22T21:28:00Z,7/22/10 9:25 PM,"Four males grabbed man walking on the street, struck him and took his i-Pod before fleeing on foot",Open,W0825,2010-07-22T21:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79651155,-87.59658305
weapon violation,61st at greenwood,NA,2010-07-21T14:01:00Z,7/19/10 7:00 PM to 8:30 PM,Investigation of possible unlawful discharge of a firearm on the street by an unknown person,Open,W0827,2010-07-19T19:00:00Z,2010-07-19T20:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7841049,-87.5995211
stalking,5841 s. maryland,mitchell hospital,2010-07-23T08:37:00Z,7/16/10 9:33 PM,Report of receipt of annoying email,Open,W0828,2010-07-16T21:33:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7883128,-87.6045656
theft,blackstone between 50th & 51st st.,NA,2010-07-23T13:01:00Z,7/23/10 12:45 PM,Man took cell phone from a youth on the street and refused to return it / UCPD officer located and arrested suspect / phone recovered,Arrest,W0830,2010-07-23T12:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.83879395,-87.60750275
burglary,greenwood between 62nd & 63rd,NA,2010-07-23T13:25:00Z,7/23/10 1:15 PM,Two males seen entering residence via window / Arrest,Arrest,W0831,2010-07-23T13:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.78138385,-87.59932635
deceptive practice,924 e. 57th st,bslc,2010-07-23T14:46:00Z,7/21/10 1:00 PM,Unknown male caller used ruse in an attempt to secure credit card information from complainant,Open,W0829,2010-07-21T13:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,5730 s. drexel,comer hospital,2010-07-23T19:59:00Z,7/23/10 4:30 PM to 7:30 PM,Unknown person took a bicycle that was secured to a bike rack,Open,W0832,2010-07-23T16:30:00Z,2010-07-23T19:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7903948,-87.6038772
irregular conditions,5640 s. university,bartlett commons,2010-07-23T22:26:00Z,7/23/10 10:26 PM,UCPD officer discovered an unlocked exterior door / Premise toured and secured,Closed,W0833,2010-07-23T22:26:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7919788,-87.5983645
irregular conditions,1100 e. 57th st.,regenstein library,2010-07-23T23:57:00Z,7/23/10 11:57 PM,Leak in basement due to heavy rain / Engineer notified,Closed,W0835,2010-07-23T23:57:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
fire,5835 s. greenwood,stuart hall,2010-07-24T07:27:00Z,7/24/10 7:27 AM,Clogged drain on roof caused water leak that triggered alarm / CFD responded,Closed,W0837,2010-07-24T07:27:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7884006,-87.5990993
irregular conditions,various campus buildings,NA,2010-07-24T10:45:00Z,7/24/10  12:00:00 AM to 10:00 AM,Report of water leaks and flooding of several campus buildings due to heavy rains,Closed,W0838,2010-07-24T00:00:00Z,2010-07-24T10:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8964357,-87.6196903
irregular conditions,901 e. 58th st.,mitchell er,2010-07-24T11:33:00Z,7/24/10 9:35 AM,Power surge reported at Mitchell ER and several buildings on campus,Closed,W0839,2010-07-24T09:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891364,-87.6040574
theft,greenwood at 53rd,NA,2010-07-24T13:38:00Z,7/24/10 1:00 AM to 6:00 AM,Unknown person took unsecured bicycle from lobby of apartment building,Open,W0840,2010-07-24T01:00:00Z,2010-07-24T06:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7994069,-87.5997436
damage to property,1125 e. 58th st.,NA,2010-07-24T14:56:00Z,7/20/10 to 7/24/10 3:00 PM to 2:55 PM,Unknown person scrawled graffiti on two bulletin boards and a table in the Quad area / Facilities notified,Open,W0841,2010-07-20T15:00:00Z,2010-07-24T14:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7896072,-87.5964144
lost property,5815 s. maryland,mitchell hospital,2010-07-24T19:07:00Z,7/24/10 11:00 AM to 7:05 PM,Patient reports a HP computer missing after she transferred rooms in the hospital,Closed,W0842,2010-07-24T11:00:00Z,2010-07-24T19:05:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
irregular conditions,5730 s. ellis,crerar library,2010-07-24T21:44:00Z,7/23/10 to 7/24/10 10:00 PM to 8:00 AM,Doors to library were propped open with newspaper / UCPD conducted premise check,Closed,W0843,2010-07-23T22:00:00Z,2010-07-24T08:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.790225,-87.602556
irregular conditions,6054 s. drexel,ucpd / 6031 s. ellis ,2010-07-24T21:45:00Z,7/24/10 9:45 PM,Power outage reported / ComEd restored power at 11:25 PM,Closed,W0845,2010-07-24T21:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
irregular conditions,1359 e. hyde park,fairfax,2010-07-24T21:54:00Z,7/24/10 9:54 PM,Person freed from stuck elevator by CFD,Closed,W0844,2010-07-24T21:54:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8021381,-87.5928174
theft,5730 s. drexel,comer er,2010-07-25T00:55:00Z,7/24/10 to 7/25/10 11:30 PM to 12:55 AM,Unknown person took credit cards and ID from an unattended wallet in Comer ER waiting area,Open,W0846,2010-07-24T23:30:00Z,2010-07-25T00:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7903948,-87.6038772
sick person,5630 s. university,max palevsky east,2010-07-25T01:03:00Z,7/25/10 1:03 AM,Sick person transported to Provident Hospital by CFD EMS,Closed,W0847,2010-07-25T01:03:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7927938,-87.5984305
found property,1116 e. 59th st.,harper library,2010-07-25T07:47:00Z,7/25/10 7:47 AM,UCPD officer found briefcase on bench / Owner contacted,Closed,W0848,2010-07-25T07:47:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7879664,-87.5995364
deceptive practice,woodlawn between 54th & 55th,NA,2010-07-25T08:08:00Z,7/22/10 10:00 PM,Complainant scammed via email / gave cnet ID and password to unknown party,Open,W0849,2010-07-22T22:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79651155,-87.59658305
possession of cannabis,5630 s. university,max palevsky east,2010-07-25T10:12:00Z,7/25/10 10:12 AM,Subject arrested for possession of marijuana,Arrest,W0850,2010-07-25T10:12:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7927938,-87.5984305
fire,6031 s. ellis,south campus residence hall,2010-07-25T11:23:00Z,7/25/10 11:23 AM,Alarm malfunction / CFD responded,Closed,W0851,2010-07-25T11:23:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
miscellaneous,everett between 55th & 56th,NA,2010-07-25T13:19:00Z,7/25/10 1:19 PM,UCPD officers came to aid of woman calling for help / No crime committed,Closed,W0854,2010-07-25T13:19:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79433475,-87.5823006
lost property,5815 s. maryland,mitchell hospital,2010-07-25T13:41:00Z,7/23/10 12:00 PM to 6:00 PM,Patient reports loss of eye glasses,Closed,W0852,2010-07-23T12:00:00Z,2010-07-23T18:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
theft,5815 s. maryland,mitchell hospital,2010-07-25T14:11:00Z,7/25/10 12:00 PM to 1:00 PM,Unattended wallet taken from table in café,Open,W0853,2010-07-25T12:00:00Z,2010-07-25T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
theft,55th at kimbark,NA,2010-07-25T16:45:00Z,7/25/10 4:44 PM,Male exiting CTA bus grabbed cell phone from a passenger's hand and fled,Open,W0855,2010-07-25T16:44:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7951219,-87.5949214
irregular conditions,61st to 65th / cottage grove to university,NA,2010-07-25T23:25:00Z,7/25/10 11:25 PM,Power outage caused by shorted switch / Power restored at 11:50 PM,Closed,W0856,2010-07-25T23:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7801581,-87.6042193
fire,5835 s. greenwood,stuart hall,2010-07-26T08:30:00Z,7/26/10 8:28 AM,Condensation in line triggered fire alarm / CFD responded,Closed,W0857,2010-07-26T08:28:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7884006,-87.5990993
harassment,5848 s. university,kelly hall,2010-07-26T09:05:00Z,1/29/10 to7/22/10 periodic,Report of on-going harassing telephone calls from a known individual / Investigation being conducted by CPD,Closed,W0858,2010-01-29T00:00:00Z,2010-07-22T00:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788274,-87.598276
lost property,924 e. 57th st.,bslc,2010-07-26T16:31:00Z,7/26/10 1:00 PM to 2:30 PM,Staff member reports losing her office keys,Closed,W0859,2010-07-26T13:00:00Z,2010-07-26T14:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,969 e. 60th st.,ssa,2010-07-27T12:10:00Z,7/26/10 to 7/27/10 5:00 PM to 8:00 AM,Unknown person cut U lock and took bicycle from bike rack,Open,W0860,2010-07-26T17:00:00Z,2010-07-27T08:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78552,-87.6018945
theft,947 e. 58th st.,abbott memorial hall,2010-07-27T15:02:00Z,7/27/10 11:00 AM to 12:30 PM,Unattended MacBook laptop computer taken from unlocked room,Open,W0861,2010-07-27T11:00:00Z,2010-07-27T12:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7893783,-87.6025521
NA,901 e. 58th st.,ucmc er,2010-07-27T19:28:00Z,7/27/10 7:20 PM,Disagreement between two staff members,Closed,W0862,2010-07-27T19:20:00Z,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891364,-87.6040574
theft,1100 e. 57th st.,regenstein library,2010-07-27T20:35:00Z,7/27/10 12:20 PM to 6:50 PM,Unknown person took secured bicycle from bike rack,Open,W0863,2010-07-27T12:20:00Z,2010-07-27T18:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
theft,1027 e. 57th st.,anatomy,2010-07-27T23:44:00Z,7/27/10 4:00 PM to 11:30 PM,Unknown person took bicycle secured to bike rack,Open,W0864,2010-07-27T16:00:00Z,2010-07-27T23:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7912117,-87.5999352
damage to property,53rd between woodlawn & kimbark,NA,2010-07-28T07:48:00Z,7/28/10 12:30 AM to 6:00 AM,Unknown person shattered glass entrance door of restaurant with an unknown object,Open,W0865,2010-07-28T00:30:00Z,2010-07-28T06:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7994513,-87.59583085
assault,hyde park blvd. at 55th,NA,2010-07-28T09:17:00Z,7/26/10 9:50 PM,Unknown man followed woman and chased her into the lobby of her apartment building / No physical contact / No words exchanged,Open,W0867,2010-07-26T21:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7952081,-87.5839381
theft,969 e. 60th st.,ssa,2010-07-28T09:43:00Z,7/27/10 to 7/28/10 5:00 PM to 8:00 AM,Unknown person took secured bicycle from bike rack,Open,W0866,2010-07-27T17:00:00Z,2010-07-28T08:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78552,-87.6018945
theft,1020 e. 58th st.,kent lab,2010-07-28T12:15:00Z,7/28/10 9:20 AM to 12:05 PM,Secured bicycle taken from bike rack,Open,W0868,2010-07-28T09:20:00Z,2010-07-28T12:05:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7900088,-87.60021
theft,5815 s. maryland,mitchell hospital,2010-07-28T14:43:00Z,7/28/10 2:15 PM,Wallet taken from woman's purse / Possibly in hallway or elevator,Open,W0869,2010-07-28T14:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
open door,5800 s. stony island,doctor's hospital,2010-07-28T21:14:00Z,7/28/10 9:14 PM,UCPD officer discovered an open door in the vacant building / Officers toured premises / No persons found,Closed,W0870,2010-07-28T21:14:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789619,-87.586578
theft,university between 55th & 56th,NA,2010-07-28T22:29:00Z,7/28/10 7:10 PM to 10:25 PM,Unknown person took a bicycle that was secured to a metal post in front of a residential building,Open,W0871,2010-07-28T19:10:00Z,2010-07-28T22:25:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79176095,-87.59840615
fire,5807 s. woodlawn,booth school,2010-07-29T04:33:00Z,7/29/10 4:33 AM,Apparent alarm malfunction / No smoke or fire / CFD responded,Closed,W0872,2010-07-29T04:33:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891387,-87.5954555
arson,madison park between kenwood and dorchester,NA,2010-07-29T07:46:00Z,7/28/10 to 7/29/10 6:00 PM to 7:00 AM,City garbage container and wooden fence damaged by fire,Open,W0873,2010-07-28T18:00:00Z,2010-07-29T07:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.802964,-87.5933206
theft,1101 e. 58th st.,rosenwald hall,2010-07-29T08:52:00Z,7/28/10 8:00 AM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0875,2010-07-28T08:00:00Z,2010-07-28T17:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788936,-87.599152900000007
threat,860 e. 59th st.,goldblatt pavilion,2010-07-29T09:30:00Z,7/28/10 1:00 PM,Woman felt threatened after receiving an anonymous phone call,Open,W0876,2010-07-28T13:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7881592,-87.603645
irregular conditions,4444 s. evans,woodson charter school,2010-07-29T10:56:00Z,7/29/10 9:45 AM to 11:10 AM,Power outage reported / Restore at 11:10 AM,Closed,W0877,2010-07-29T09:45:00Z,2010-07-29T11:10:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8140223,-87.6086873
assault,drexel at 50th,NA,2010-07-29T11:53:00Z,7/29/10 11:53 AM,Woman walking on the street felt threatened by the actions of a stranger / Suspect gone upon arrival of police,Open,W0878,2010-07-29T11:53:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8041012,-87.6042494
theft,cottage grove at 59th,NA,2010-07-29T13:23:00Z,7/29/10 11:00 AM,Unknown person smashed window of van parked on the street / Took GPS device and two Motorola portable radios,Open,W0879,2010-07-29T11:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7876879,-87.6060616
theft,ellis at 55th,NA,2010-07-29T15:19:00Z,7/29/10 8:45 AM to 3:00 PM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0880,2010-07-29T08:45:00Z,2010-07-29T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7949642,-87.6013291
damage to property,800 e. 55th st,friend center,2010-07-29T16:32:00Z,7/29/10 3:20 PM,Disgruntled man threw a door open causing a hole in the wall,Open,W0882,2010-07-29T15:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.795219,-87.605296
theft,929 e. 57th st.,gordon center,2010-07-29T16:33:00Z,7/29/10 9:20 AM to 4:15 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0881,2010-07-29T09:20:00Z,2010-07-29T16:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911305,-87.6027488
theft,kimbark between 57th & 58th,NA,2010-07-29T17:36:00Z,7/28/10 to 7/29/10 8:00 AM to 5:00 PM,Unknown person took bicycle that had been secured to a lamp post in the courtyard of residential building,Open,W0883,2010-07-28T08:00:00Z,2010-07-29T17:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7905318,-87.5948216
lost property,5758 s. maryland,dcam,2010-07-29T17:54:00Z,7/29/10 1:30 PM to 4:00 PM,Woman lost her wallet while in the cafeteria,Closed,W0884,2010-07-29T13:30:00Z,2010-07-29T16:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7902993,-87.6055693
theft,shore dr. at 56th,NA,2010-07-29T19:14:00Z,7/29/10 6:50 PM,Unknown female was seen entering an unlocked car parked on the street taking $5.00 in quarters,Open,W0885,2010-07-29T18:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7943051,-87.5807796
wellbeing check,kenwood between 56th & 57th,NA,2010-07-30T03:50:00Z,7/30/10 3:15 AM,UCPD checked well-being of an individual at the request of a friend / All was well,Closed,W0886,2010-07-30T03:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79237515,-87.59324325
theft,55th between cornell and hyde park,NA,2010-07-30T12:13:00Z,7/30/10 12:10 PM,Unknown male customer grabbed money from cash register as salesperson was making change / Suspect fled on foot,Open,W0887,2010-07-30T12:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79519735,-87.58467735
theft,1115 e. 58th st.,walker,2010-07-30T15:05:00Z,7/30/10 2:00 PM to 3:00 PM,Two bicycles chained together were taken from bike rack,Open,W0890,2010-07-30T14:00:00Z,2010-07-30T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788936,-87.599152900000007
theft,5812 s. ellis,brain research,2010-07-30T16:05:00Z,7/30/10 9:00 AM to 3:45 PM,Unknown person took secured bicycle from bike rack,Open,W0889,2010-07-30T09:00:00Z,2010-07-30T15:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891768,-87.6019508
theft,1126 e. 59th st.,social science,2010-07-30T20:46:00Z,7/30/10 3:30 PM to 5:30 PM,Unknown person used a tool to cut bar on bike rack and took a secured bicycle,Open,W0891,2010-07-30T15:30:00Z,2010-07-30T17:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7880092,-87.5987709
burglary,57th between harper & lake park,NA,2010-07-31T02:11:00Z,7/30/10 to 7/31/10 10:30 PM to 2:00 AM,"Unknown person(s) gained entry to residential apartment by undetermined method taking an Acer laptop computer, jewelry box and jewelry",Open,W0892,2010-07-30T22:30:00Z,2010-07-31T02:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79150975,-87.5886325
